Punto_De_Venta,Tipo_De_Comprobante,Numero_De_Comprobante,Fecha_Emision,Fecha_Vencimiento,Fecha_Pago,Estado,CUIT/CUIL,Razon_Social,Condicion,SubTotal,,
91597,FCEA,63011575,23/7/2014,12/8/2014,null,Pendiente de pago,69-53271697-8,Persona 658,IVA Sujeto Exento,"1.288.578,00",,436
37091,FCA,53078912,16/2/2018,5/4/2018,null,Pendiente de pago,45-77009962-7,Persona 1994,Responsable Inscripto,"691.401,00",,
31696,FCA,25813993,25/8/2019,14/9/2019,12/10/2019,Vencido,94-81167959-3,Empresa 1348 SRL,Régimen Simplificado,"464.267,00",,
50492,FCA,64794416,2/10/2022,24/11/2022,25/11/2022,Vencido,74-58122348-9,Empresa 2510 SRL,IVA Sujeto Exento,"1.194.187,00",,
20014,FCB,18315799,6/10/2019,22/11/2019,3/12/2019,Vencido,76-47358896-1,Persona 1849,Régimen Simplificado,"440.498,00",,
93490,FCA,43944024,2/9/2021,10/9/2021,30/10/2021,Vencido,19-37016576-6,Empresa 2867 S.A.,Responsable Inscripto,"843.368,00",,
32823,FCEA,64535574,2/3/2016,29/4/2016,4/4/2016,Pagado,61-25417156-9,Empresa 2430 SRL,Régimen Simplificado,"4.555.035,00",,
22159,FCEA,26069221,27/6/2014,17/8/2014,null,Pendiente de pago,65-54293764-2,Persona 1245,Responsable Inscripto,"438.007,00",,
56858,FCB,33868218,10/2/2016,20/2/2016,2/3/2016,Vencido,20-67384273-3,Empresa 2893 SAS,Responsable Inscripto,"187.824,00",,
79965,FCA,78324194,11/6/2021,27/7/2021,7/7/2021,Pagado,19-87576405-4,Empresa 385 SRL,Régimen Simplificado,"4.719.949,00",,
18171,FCA,67280507,31/1/2015,4/2/2015,9/2/2015,Vencido,61-15140047-0,Persona 6,Régimen Simplificado,"1.831.769,00",,
14488,FCA,50210783,7/4/2016,12/4/2016,16/5/2016,Vencido,59-70493226-2,Empresa 2888 S.A.,Régimen Simplificado,"594.058,00",,
61810,FCEA,66868288,26/5/2020,16/7/2020,11/7/2020,Pagado,33-87540071-8,Empresa 1831 S.A.,Responsable Inscripto,"3.309.058,00",,
41563,FCEA,22793923,17/8/2023,11/9/2023,null,Pendiente de pago,15-33770560-0,Empresa 895 SAS,Régimen Simplificado,"2.808.812,00",,
62998,FCEA,22610620,24/7/2022,16/8/2022,null,Pendiente de pago,68-44115597-0,Persona 1794,Responsable Inscripto,"3.389.171,00",,
69938,FCB,63905885,6/6/2015,17/7/2015,17/7/2015,Pagado,58-36363747-8,Persona 2348,IVA Sujeto Exento,"3.067.413,00",,
10503,FCB,34634519,8/1/2015,25/1/2015,null,Pendiente de pago,78-87308709-6,Empresa 439 SAS,Régimen Simplificado,"2.543.656,00",,
61046,FCB,87334083,20/4/2015,19/6/2015,9/6/2015,Pagado,94-65721651-5,Persona 478,Responsable Inscripto,"4.837.276,00",,
53902,FCC,24226994,21/3/2018,14/5/2018,17/5/2018,Vencido,97-95602822-8,Persona 206,IVA Sujeto Exento,"4.911.432,00",,
71875,FCEA,64412644,16/1/2024,28/1/2024,17/1/2024,Pagado,16-48952017-8,Persona 2987,Responsable Inscripto,"1.783.982,00",,
69938,FCB,75372171,25/2/2015,6/3/2015,30/3/2015,Vencido,58-36363747-8,Persona 2348,IVA Sujeto Exento,"207.444,00",,
49343,FCA,90096206,6/9/2018,23/9/2018,null,Pendiente de pago,91-89544588-2,Persona 351,Régimen Simplificado,"685.722,00",,
67441,FCA,34018837,25/3/2014,22/5/2014,2/5/2014,Pagado,73-22412636-3,Empresa 2911 SRL,IVA Sujeto Exento,"2.356.108,00",,
27820,FCA,53366160,11/12/2020,5/2/2021,null,Pendiente de pago,55-94011955-5,Empresa 988 SRL,Responsable Inscripto,"4.696.738,00",,
77511,FCB,20776015,7/4/2017,16/5/2017,null,Pendiente de pago,54-68652513-7,Persona 928,IVA Sujeto Exento,"4.889.015,00",,
62122,FCEA,51524743,31/10/2021,30/11/2021,20/12/2021,Vencido,33-64525199-8,Empresa 1723 S.A.,IVA Sujeto Exento,"4.031.105,00",,
